"","State","year","Number.of.districts","Minimum","Maximum","Mean","score"
"145","Nevada",2014,"19",2233000,2833723000,218725000,0.000253125
"146","New Hampshire",1995,"176",18640.8,119245197.6,10877904.0828,0.64625
"147","New Hampshire",2000,"177",54992,145559699.6,12741327.4464,0.6475
"148","New Hampshire",2005,"176",43639.2,176954531.6,16070356.0204,0.000269618055555556
"149","New Hampshire",2010,"176",81427.5,176878986.9,17623903.1892,0.000270659722222222
"150","New Hampshire",2014,"175",45000,169746000,16893177,0.000271875
"151","New Jersey",1995,"616",220582.8,883735473.6,30224294.091,0.626875
"152","New Jersey",2000,"654",0,853710930.8,33558285.0848,0.6325
"153","New Jersey",2005,"661",147888.4,1163166510,42527097.415,0.000261631944444444
"154","New Jersey",2010,"668",55370.7,1226537004,43990859.451,0.000261805555555556
"155","New Jersey",2014,"689",0,1117846000,41066373,0.000263888888888889
"156","New Mexico",1995,"89",1351458,670188022.2,26890977.303,0.68875
"157","New Mexico",2000,"89",1723999.2,747728973.6,33443647.3868,0.683125
"158","New Mexico",2005,"89",1858302.6,932590311.4,41019976.4282,0.000286284722222222
"159","New Mexico",2010,"109",46685.1,1207654509.6,38287589.4093,0.000280902777777778
"160","New Mexico",2014,"144",434000,1022949000,27362667,0.000281770833333333
"161","New York",1995,"712",346408.2,14683563208.8,57905531.0226,0.6225
"162","New York",2000,"705",219968,16968886939.2,65896006.232,0.625
"163","New York",2005,"699",419421.2,20081323383,78409416.2808,0.000257986111111111
"164","New York",2010,"697",0,26705732661.3,93787868.79,0.000253472222222222
"165","New York",2014,"690",171000,26009861000,90853230,0.000255034722222222
"166","North Carolina",1995,"119",8914962.6,845924164.2,81167773.6926,0.61
"167","North Carolina",2000,"194",41244,1202004137.6,66262943.1016,0.62
"168","North Carolina",2005,"212",513972.8,1280208056.6,63463535.7708,0.000259201388888889
"169","North Carolina",2010,"211",708962.1,1660895174.4,74561723.1975,0.000256076388888889
"170","North Carolina",2014,"243",163000,1433164000,57709720,0.000256597222222222
"171","North Dakota",1995,"270",46602,94302253.8,3578020.7832,0.746875
"172","North Dakota",2000,"258",65990.4,135232202,4277695.6992,0.744375
"173","North Dakota",2005,"237",83641.8,132648621.6,5040613.6792,0.000315104166666667
"174","North Dakota",2010,"213",102055.8,162941856,6460302.5949,0.000305381944444444
"175","North Dakota",2014,"206",116000,185465000,7793709,0.0003109375
"176","Ohio",1995,"740",68349.6,801310516.2,23783910.1182,0.669375
"177","Ohio",2000,"772",0,876775950.4,26630100.0924,0.670625
"178","Ohio",2005,"983",24244,953038913.2,25010034.0314,0.000277777777777778
"179","Ohio",2010,"1,030",22799.7,1016847077.4,25028898.3252,0.000278819444444444
"180","Ohio",2014,"1,125",0,901080000,20539188,0.000287673611111111
"181","Oklahoma",1995,"585",282718.8,387709999.2,8446273.8588,0.701875
"182","Oklahoma",2000,"583",233716,372235348.8,9142233.0272,0.705
"183","Oklahoma",2005,"573",0,414943333.2,10124910.1976,0.000297395833333333
"184","Oklahoma",2010,"565",389766.3,426169821,11485043.7933,0.0002921875
"185","Oklahoma",2014,"532",82000,476965000,11360259,0.000293923611111111
"186","Oregon",1995,"279",73009.8,550639911.6,18128479.3596,0.6525
"187","Oregon",2000,"218",30245.6,605811119.2,27737649.9708,0.6575
"188","Oregon",2005,"218",181830,587554552.2,31125620.6096,0.000269965277777778
"189","Oregon",2010,"217",92284.5,590460116.4,32010964.4547,0.000267361111111111
"190","Oregon",2014,"216",81000,612241000,29877940,0.000268402777777778
"191","Pennsylvania",1995,"605",7767,2102233307.4,36295105.563,0.61875
"192","Pennsylvania",2000,"652",63240.8,2514920265.2,37837304.7164,0.624375
"193","Pennsylvania",2005,"712",58185.6,3068590960.6,40193706.9666,0.00025625
"194","Pennsylvania",2010,"737",29313.9,3203403449.4,42997397.2659,0.000255729166666667
"195","Pennsylvania",2014,"773",72000,2741964000,39304492,0.0002578125
"196","Rhode Island",1995,"36",2679615,272492767.8,45684804.2904,0.62
"197","Rhode Island",2000,"36",4286626.4,351444248.4,53023515.9916,0.625
"198","Rhode Island",2005,"41",1210987.8,425719791.2,56009434.316,0.000258159722222222
"199","Rhode Island",2010,"46",835989,490320576.9,53697754.6413,0.000256423611111111
"200","Rhode Island",2014,"59",1869000,431088000,40878932,0.000255555555555556
"201","South Carolina",1995,"106",742525.2,409584978,48165262.5366,0.59625
"202","South Carolina",2000,"98",1006353.6,545563258.8,69601242.0852,0.60875
"203","South Carolina",2005,"97",873996.2,1000256527.6,82132060.6612,0.000254340277777778
"204","South Carolina",2010,"98",1030329.3,732090767.1,91933829.757,0.000249305555555556
"205","South Carolina",2014,"94",1064000,753089000,92559926,0.000250347222222222
"206","South Dakota",1995,"177",203495.4,161314376.4,6090416.9334,0.7125
"207","South Dakota",2000,"176",184223.2,179169435.2,7019361.7284,0.724375
"208","South Dakota",2005,"168",152737.2,195303603,7643375.575,0.000307638888888889
"209","South Dakota",2010,"156",348509.7,218688208.2,8919666.063,0.0003015625
"210","South Dakota",2014,"159",17000,235177000,8524774,0.000304340277777778
"211","Tennessee",1995,"140",146019.6,791095357.8,43927633.9386,0.696875
"212","Tennessee",2000,"138",2053951.2,1114696088.8,57833064.0692,0.696875
"213","Tennessee",2005,"136",2973526.6,1181790750.8,62994477.4052,0.000297569444444444
"214","Tennessee",2010,"136",2883619.2,1251915241.5,69934782.4791,0.000296875
"215","Tennessee",2014,"136",2499000,1500068000,69359434,0.000299131944444444
"216","Texas",1995,"1,062",15534,1660350036.6,29538699.4476,0.621875
"217","Texas",2000,"1,203",4124.4,2126825223.6,36046822.938,0.62
"218","Texas",2005,"1,245",185466.6,2241304463.2,39682428.8872,0.000257638888888889
"219","Texas",2010,"1,255",77084.7,2361003390.9,47449331.8299,0.000251041666666667
"220","Texas",2014,"1,251",0,2203186000,43782594,0.000244791666666667
"221","United States",1995,"15,553",0,14683563208.8,28150694.6058,0.633125
"222","United States",2000,"15,953",0,16968886939.2,33360500.8576,0.6375
"223","United States",2005,"16,605",0,20081323383,37210762.7848,0.000263541666666667
"224","United States",2010,"16,527",0,26705732661.3,40923378.0417,0.000260416666666667
"225","United States",2014,"16,904",0,26009861000,37772850,0.000258680555555556
"226","Utah",1995,"40",3008935.8,514955206.8,79430429.385,0.72375
"227","Utah",2000,"40",3157915.6,494071499.6,85183295.4,0.715625
"228","Utah",2005,"76",6061,556584054.4,51368521.7672,0.000289409722222222
"229","Utah",2010,"111",507021.9,546744405.9,45067846.7085,0.000289409722222222
"230","Utah",2014,"140",38000,509967000,34517493,0.000296527777777778
"231","Vermont",1995,"325",77670,43195393.8,4260550.5684,0.62875
"232","Vermont",2000,"329",74239.2,48887888,4988614.4028,0.635625
"233","Vermont",2005,"334",16970.8,57916491.6,5932332.2432,0.000266319444444444
"234","Vermont",2010,"330",8685.6,75016441.5,5712933.8574,0.000267013888888889
"235","Vermont",2014,"324",4000,82318000,5877191,0.000269791666666667
"236","Virginia",1995,"157",226796.4,1644082831.8,65213097.4386,0.626875
"237","Virginia",2000,"134",4231634.4,2057755271.6,93924243.5544,0.631875
"238","Virginia",2005,"134",4474230.2,2470652703.2,112039457.849,0.000264756944444444
"239","Virginia",2010,"134",4242915.6,2591792811.3,120884033.2854,0.000263194444444444
"240","Virginia",2014,"133",3767000,2847787000,117973263,0.000266145833333333
"241","Washington",1995,"305",256311,506776555.8,31581151.7094,0.64875
"242","Washington",2000,"305",177349.2,673298676.4,35212625.9184,0.65875
"243","Washington",2005,"296",209710.6,648533061,38493915.2752,0.000272569444444444
"244","Washington",2010,"304",387594.9,791228846.1,42216637.8249,0.000270833333333333
"245","Washington",2014,"304",187000,691235000,42125987,0.000259722222222222
"246","West Virginia",1995,"55",10193410.8,299635326,54598507.083,0.645
"247","West Virginia",2000,"55",11336600.8,330607779.6,56080917.214,0.649375
"248","West Virginia",2005,"55",11284369.8,337291013.4,59479413.7894,0.000268055555555556
"249","West Virginia",2010,"55",12525720.9,371753451.3,68785865.4252,0.0002625
"250","West Virginia",2014,"63",2795000,336646000,55553540,0.000260590277777778
"251","Wisconsin",1995,"431",891651.6,1164952135.8,21829970.5884,0.726875
"252","Wisconsin",2000,"430",967859.2,1388945317.2,26163565.8368,0.7375
"253","Wisconsin",2005,"430",71519.8,1451878608.4,26593700.5994,0.000306423611111111
"254","Wisconsin",2010,"428",1486323.3,1368701819.1,28199842.6017,0.000306770833333333
"255","Wisconsin",2014,"427",1209000,1148215000,26358749,0.000307465277777778
"256","Wyoming",1995,"49",1214758.8,123837048,20382350.9148,0.68
"257","Wyoming",2000,"48",2107568.4,126716690.8,22051878.6124,0.6825
"258","Wyoming",2005,"48",2681386.4,166469001.6,26102782.6312,0.000284722222222222
"259","Wyoming",2010,"48",3372184.2,258806994.6,38365403.6997,0.00029375
"260","Wyoming",2014,"48",3325000,246350000,36999979,0.0003015625
