"","State","Number.of.districts","Minimum","Maximum","Mean","year"
"255","Vermont","328","34,000","33,558,000","3,445,067",1999
"256","Virginia","156","0","1,337,097,000","53,435,083",1999
"257","Washington","305","124,000","440,531,000","24,554,521",1999
"258","West Virginia","55","7,960,000","235,345,000","39,444,218",1999
"259","Wisconsin","430","660,000","942,361,000","18,315,826",1999
"260","Wyoming","48","1,333,000","89,950,000","15,396,229",1999
"261","National","15,953","$0 ","$12,342,804,000 ","$24,265,712 ",2000
"262","Alabama","128","5,664,000","401,336,000","39,088,023",2000
"263","Alaska","53","907,000","442,420,000","26,168,000",2000
"264","Arizona","232","4,000","445,259,000","23,263,767",2000
"265","Arkansas","325","722,000","171,336,000","8,256,615",2000
"266","California","1,093","3,000","5,420,500,000","41,930,241",2000
"267","Colorado","195","175,000","782,622,000","27,918,938",2000
"268","Connecticut","181","0","356,688,000","31,033,227",2000
"269","Delaware","24","592,000","192,070,000","43,653,625",2000
"270","District of Columbia","1","858,807,000","858,807,000","858,807,000",2000
"271","Florida","67","6,740,000","2,656,802,000","256,432,149",2000
"272","Georgia","196","1,571,000","846,907,000","55,533,214",2000
"273","Hawaii","1","1,363,511,000","1,363,511,000","1,363,511,000",2000
"274","Idaho","113","66,000","178,720,000","13,043,920",2000
"275","Illinois","1,067","0","3,884,516,000","16,938,322",2000
"276","Indiana","317","274,000","435,436,000","26,872,167",2000
"277","Iowa","390","954,000","262,192,000","10,191,828",2000
"278","Kansas","304","842,000","317,344,000","10,944,375",2000
"279","Kentucky","176","1,254,000","758,643,000","25,630,523",2000
"280","Louisiana","66","8,306,000","521,286,000","72,834,803",2000
"281","Maine","293","7,000","74,685,000","6,287,631",2000
"282","Maryland","24","24,041,000","1,402,217,000","306,487,417",2000
"283","Massachusetts","391","0","796,948,000","24,210,647",2000
"284","Michigan","781","62,000","1,579,543,000","21,229,867",2000
"285","Minnesota","467","0","665,586,000","16,701,642",2000
"286","Mississippi","152","1,695,000","204,472,000","19,713,645",2000
"287","Missouri","524","420,000","453,438,000","12,802,687",2000
"288","Montana","476","4,000","56,188,000","2,209,597",2000
"289","Nebraska","605","3,000","297,304,000","3,579,387",2000
"290","Nevada","17","1,545,000","1,670,203,000","143,662,353",2000
"291","New Hampshire","177","40,000","105,877,000","9,267,768",2000
"292","New Jersey","654","0","620,971,000","24,409,576",2000
"293","New Mexico","89","1,254,000","543,882,000","24,326,191",2000
"294","New York","705","160,000","12,342,804,000","47,931,340",2000
"295","North Carolina","194","30,000","874,312,000","48,198,242",2000
"296","North Dakota","258","48,000","98,365,000","3,111,504",2000
"297","Ohio","772","0","637,748,000","19,370,163",2000
"298","Oklahoma","583","170,000","270,756,000","6,649,864",2000
"299","Oregon","218","22,000","440,654,000","20,175,771",2000
"300","Pennsylvania","652","46,000","1,829,299,000","27,522,043",2000
"301","Rhode Island","36","3,118,000","255,633,000","38,568,167",2000
"302","South Carolina","98","732,000","396,831,000","50,626,449",2000
"303","South Dakota","176","134,000","130,324,000","5,105,733",2000
"304","Tennessee","138","1,494,000","810,806,000","42,066,529",2000
"305","Texas","1,203","3,000","1,547,007,000","26,219,685",2000
"306","Utah","40","2,297,000","359,377,000","61,960,500",2000
"307","Vermont","329","54,000","35,560,000","3,628,611",2000
"308","Virginia","134","3,078,000","1,496,767,000","68,318,478",2000
