"","State","Number.of.districts","Minimum","Maximum","Mean","year"
"903","Kentucky","174","1,610,000","1,258,019,000","42,784,649",2012
"904","Louisiana","123","1,212,000","647,475,000","72,566,447",2012
"905","Maine","244","4,000","109,323,000","10,843,885",2012
"906","Maryland","24","31,977,000","2,646,912,000","550,505,833",2012
"907","Massachusetts","400","315,000","1,252,519,000","40,226,968",2012
"908","Michigan","858","103,000","1,231,375,000","22,375,718",2012
"909","Minnesota","552","2,000","623,918,000","20,212,284",2012
"910","Mississippi","152","2,308,000","289,523,000","29,100,461",2012
"911","Missouri","560","609,000","390,955,000","18,091,566",2012
"912","Montana","435","47,000","95,434,000","3,798,936",2012
"913","Nebraska","265","1,595,000","613,168,000","14,643,460",2012
"914","Nevada","18","2,861,000","2,859,780,000","232,511,056",2012
"915","New Hampshire","174","55,000","177,482,000","17,021,172",2012
"916","New Jersey","695","0","1,092,654,000","38,786,525",2012
"917","New Mexico","115","392,000","983,498,000","31,894,522",2012
"918","New York","693","256,000","24,814,225,000","87,088,981",2012
"919","North Carolina","215","606,000","1,353,430,000","64,071,023",2012
"920","North Dakota","210","115,000","146,445,000","6,574,110",2012
"921","Ohio","1,092","11,000","936,473,000","21,868,803",2012
"922","Oklahoma","534","223,000","405,916,000","10,572,165",2012
"923","Oregon","216","48,000","568,932,000","29,231,907",2012
"924","Pennsylvania","764","85,000","2,813,912,000","38,226,058",2012
"925","Rhode Island","49","1,150,000","430,099,000","47,516,878",2012
"926","South Carolina","96","978,000","674,602,000","84,115,583",2012
"927","South Dakota","160","18,000","205,598,000","8,106,069",2012
"928","Tennessee","136","2,659,000","1,190,720,000","68,062,662",2012
"929","Texas","1,245","435,000","2,355,857,000","41,368,620",2012
"930","Utah","126","44,000","588,361,000","37,239,341",2012
"931","Vermont","328","7,000","73,560,000","5,314,662",2012
"932","Virginia","134","3,892,000","2,574,460,000","112,906,448",2012
"933","Washington","304","224,000","624,241,000","40,091,740",2012
"934","West Virginia","63","2,653,000","335,378,000","56,142,397",2012
"935","Wisconsin","427","1,270,000","1,187,745,000","25,115,637",2012
"936","Wyoming","48","3,293,000","216,877,000","34,806,833",2012
"937","National","16,904","$0 ","$26,009,861,000 ","$37,772,850 ",2014
"938","Alabama","136","5,017,000","580,513,000","56,261,816",2014
"939","Alaska","53","546,000","820,088,000","51,453,887",2014
"940","Arizona","641","0","565,518,000","14,605,493",2014
"941","Arkansas","270","531,000","372,346,000","19,701,144",2014
"942","California","1,065","10,000","8,535,364,000","68,131,712",2014
"943","Colorado","198","730,000","1,295,956,000","47,314,015",2014
"944","Connecticut","195","326,000","505,723,000","52,978,851",2014
"945","Delaware","41","23,000","317,247,000","51,595,561",2014
"946","District of Columbia","63","322,000","1,390,702,000","34,285,810",2014
"947","Florida","67","10,691,000","3,591,389,000","395,875,493",2014
"948","Georgia","209","1,229,000","1,789,145,000","85,246,967",2014
"949","Hawaii","1","2,515,036,000","2,515,036,000","2,515,036,000",2014
"950","Idaho","148","141,000","232,033,000","14,100,365",2014
"951","Illinois","995","14,000","6,253,045,000","31,349,861",2014
"952","Indiana","401","10,000","442,943,000","28,697,596",2014
"953","Iowa","353","1,186,000","448,107,000","18,531,312",2014
"954","Kansas","285","1,357,000","623,082,000","19,830,635",2014
"955","Kentucky","173","1,910,000","1,251,707,000","42,463,694",2014
"956","Louisiana","126","1,174,000","561,616,000","68,907,833",2014
"957","Maine","254","1,000","123,658,000","10,490,114",2014
"958","Maryland","24","32,172,000","2,675,677,000","571,368,292",2014
"959","Massachusetts","405","320,000","1,361,931,000","42,319,444",2014
"960","Michigan","892","106,000","841,436,000","21,052,697",2014
"961","Minnesota","547","4,000","673,902,000","21,682,139",2014
"962","Mississippi","154","934,000","260,872,000","29,031,325",2014
"963","Missouri","558","573,000","407,351,000","18,950,903",2014
"964","Montana","434","7,000","112,175,000","4,042,221",2014
"965","Nebraska","266","1,680,000","620,169,000","15,070,049",2014
"966","Nevada","19","2,233,000","2,833,723,000","218,725,000",2014
"967","New Hampshire","175","45,000","169,746,000","16,893,177",2014
"968","New Jersey","689","0","1,117,846,000","41,066,373",2014
"969","New Mexico","144","434,000","1,022,949,000","27,362,667",2014
"970","New York","690","171,000","26,009,861,000","90,853,230",2014
"971","North Carolina","243","163,000","1,433,164,000","57,709,720",2014
"972","North Dakota","206","116,000","185,465,000","7,793,709",2014
"973","Ohio","1,125","0","901,080,000","20,539,188",2014
"974","Oklahoma","532","82,000","476,965,000","11,360,259",2014
"975","Oregon","216","81,000","612,241,000","29,877,940",2014
"976","Pennsylvania","773","72,000","2,741,964,000","39,304,492",2014
"977","Rhode Island","59","1,869,000","431,088,000","40,878,932",2014
"978","South Carolina","94","1,064,000","753,089,000","92,559,926",2014
"979","South Dakota","159","17,000","235,177,000","8,524,774",2014
"980","Tennessee","136","2,499,000","1,500,068,000","69,359,434",2014
"981","Texas","1,251","0","2,203,186,000","43,782,594",2014
"982","Utah","140","38,000","509,967,000","34,517,493",2014
"983","Vermont","324","4,000","82,318,000","5,877,191",2014
"984","Virginia","133","3,767,000","2,847,787,000","117,973,263",2014
"985","Washington","304","187,000","691,235,000","42,125,987",2014
"986","West Virginia","63","2,795,000","336,646,000","55,553,540",2014
"987","Wisconsin","427","1,209,000","1,148,215,000","26,358,749",2014
"988","Wyoming","48","3,325,000","246,350,000","36,999,979",2014
